Date,22-03-22,17-10-22,18-10-22,19-10-22,20-10-22,21-10-22,22-10-22,23-10-22,24-10-22,25-10-22,26-10-22,29-10-22,01-11-22,12-11-22,22-03-23,28-03-23,29-03-23,04-04-23,05-04-23,16-04-23,06-10-23,08-10-23,10-10-23,12-10-23,13-10-23,14-10-23,15-10-23,16-10-23,18-10-23,20-10-23,24-10-23,25-10-23,26-10-23,27-10-23,28-10-23
Distance,0.334,0.314,0.323,0.333,0.344,0.355,0.368,0.38,0.393,0.407,0.421,0.454,0.497,0.635,0.492,0.401,0.391,0.327,0.316,0.323,0.2931,0.2934,0.302,0.317,0.326,0.336,0.347,0.359,0.384,0.405,0.463,0.475,0.489,0.505,0.521
HRM pos,21312,17221,17347,17596,18083,18345,18682,19327,20262,20914,21371,23444,24282,27878,25799,22476,22476,18320,17681,16125,16221,16221,15705,15631,15631,15939,15939,16605,17786,20026,21755,21755,21755,23031,23452
# of images,2,2,2,2,2,2,2,2,2,2,2,3,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Initial guess,STP-136,STP-195,STP-195,STP-195,STP-195,STP-195,STP-195,STP-195,STP-195,0.393,0.393,0.393,0.393,0.393,STP-195,STP-195,STP-195,STP-250,STP-250,STP-250,STP-250,STP-250,STP-250,STP-250,STP-250,STP-250,STP-250,STP-250,STP-250,STP-250,STP-250,STP-250,STP-250,STP-250,STP-250
Algorithm,L-BFG-S,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,2,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD,SVD
Iterations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,6,5,7,3,8,5,8,5,4,3,6,3,5,6,8,4,7,6,5
WFE,1/2.8,1/2.6,1/2.6,1/2.6,1/2.5,1/2.6,1/2.6,1/2.6,1/2.6,1/2.5,1/2.5,1/2.5,1/2.6,1/2.6,1/2.9,1/2.2,1/1.9,1/1.9,1/1.8,1/1.9,1/1.8,1/1.9,1/1.8,1/1.9,1/1.9,1/1.9,1/1.9,1/1.9,1/1.8,1/1.9,1/1.9,1/1.8,1/1.8,1/1.9,1/1.9
Z1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z4 (def),0.2251,0.1958,0.1979,0.1973,0.2047,0.2039,0.1941,0.2038,0.2048,0.191,0.1916,0.2521,0.1995,0.1982,0.222,0.3061,0.3833,0.3971,0.404,0.384,0.4068,0.3988,0.4216,0.3922,0.383,0.3922,0.3685,0.3849,0.3936,0.3864,0.3473,0.3319,0.3558,0.3329,0.3224
Z5,0.0034,-0.0026,-0.0063,-0.0044,-0.0103,0.0032,-0.0029,0.0045,0.0043,-0.0062,-0.0152,-0.0118,-0.0059,0.0005,0.015,0.0276,0.0082,0.0128,0.0173,0.0149,0.0262,0.0216,-0.0135,0.0114,0.0137,0.0067,0.0076,0.0069,0.0153,0.0064,0.0409,0.0274,0.0004,0.0165,0.0092
Z6 (ast),0.1163,0.1301,0.1382,0.145,0.1412,0.1404,0.1461,0.1554,0.1622,0.166,0.1679,0.1569,0.1633,0.1648,0.0925,0.0837,0.106,0.0992,0.092,0.1016,0.0916,0.0942,0.0876,0.0946,0.0983,0.0578,0.1021,0.0661,0.0366,0.0723,0.0856,0.0804,0.0791,0.0923,0.0947
Z7,0.0158,0.0142,0.0264,0.0116,0.0298,0.0127,0.011,0.0117,0.022,0.021,0.0245,0.0089,0.0219,0.0283,-0.0083,-0.0081,-0.002,0.0166,0.0279,0.0087,0.0276,0.0265,0.0202,0.0268,0.0157,0.0157,-0.0009,-0.0069,-0.0118,-0.0077,-0.0187,-0.0097,-0.0315,0.0029,0.0051
Z8,0.0196,0.0353,0.015,0.0362,0.0076,0.0231,0.025,0.0294,0.0327,0.0111,0.0043,0.0289,0.02,0.0468,-0.0114,-0.0275,-0.0094,-0.0317,-0.0363,-0.0209,-0.0369,-0.0227,-0.0022,-0.0123,-0.0156,-0.0214,-0.0085,-0.0087,-0.0344,-0.0183,-0.0616,-0.0301,-0.0006,-0.0353,-0.0282
Z9,-0.0158,-0.0076,0.0018,-0.0056,0.0077,-0.0059,-0.0106,-0.0175,-0.02,0.0003,0.0075,-0.0474,-0.008,-0.0171,-0.0157,-0.0248,-0.0302,-0.0255,-0.0168,-0.033,-0.0198,-0.0161,-0.0464,-0.0136,-0.0208,-0.0243,-0.0296,-0.0308,-0.0373,-0.0212,-0.0188,-0.0474,-0.0406,-0.0544,-0.042
Z10 (tref),0.2068,0.2605,0.2438,0.2588,0.2384,0.2556,0.2435,0.2518,0.2629,0.27,0.2796,0.2994,0.2672,0.2559,0.2167,0.2646,0.2902,0.2728,0.2707,0.2905,0.2719,0.2809,0.2601,0.2818,0.2939,0.2991,0.3048,0.3024,0.3351,0.3239,0.3578,0.3868,0.3478,0.3706,0.3786
Z11 (sph),0.1546,0.1434,0.1346,0.134,0.1313,0.1295,0.1287,0.1268,0.1156,0.1078,0.101,0.117,0.0919,0.0861,0.1123,0.1559,0.1706,0.2112,0.2118,0.1852,0.2058,0.1894,0.1961,0.1836,0.1864,0.181,0.1872,0.1784,0.1861,0.1568,0.1482,0.1435,0.1481,0.1409,0.1375
Z12,0.0053,0.03,0.0244,0.0285,0.0225,0.0314,0.0255,0.0271,0.0325,0.0382,0.0346,0.018,0.0341,0.0399,0.0116,0.0072,0.0091,0.0017,0.0037,0.014,-0.0005,0.0057,0.0115,0.0111,0.0135,0.0044,0.0166,0.0085,-0.0008,0.0054,0.0143,0.0137,-0.0073,0.0142,0.0202
Z13,-0.0069,-0.0012,-0.008,-0.0167,-0.0008,0.0007,-0.0041,0.0017,0.0023,0.0022,0.0005,-0.0056,0.0144,0.0189,-0.0024,0.0001,-0.006,-0.0069,-0.0106,-0.0024,-0.0038,-0.0061,-0.0089,-0.0067,-0.0014,-0.0043,-0.0033,-0.0051,0.0053,-0.0015,-0.0042,-0.0055,-0.0449,-0.0012,-0.0009
Z14,0.0131,0.0349,0.0295,0.0294,0.0252,0.0215,0.0281,0.0093,0.0167,0.0434,0.052,0.0153,0.0097,0.0125,0.0088,-0.0108,-0.0134,-0.0159,-0.0085,-0.0217,0.0021,-0.0163,-0.0253,-0.0326,-0.0309,-0.0404,-0.0155,-0.0255,-0.0394,-0.0367,-0.0423,-0.0307,-0.0391,-0.0377,-0.0418
Z15,0.0043,-0.004,-0.0001,0.0113,-0.0025,-0.0029,0.0057,0.0097,0.0168,0.0121,0.0201,0.0355,0.0135,0.009,0.0247,0.0256,0.0129,0.0125,0.0058,0.0072,0.0065,-0.009,0.0495,0.0091,0.0002,0.0168,0.0127,0.022,-0.0081,0.0103,0.0216,0.0294,0.1145,0.0238,0.0225
Z16,0.0043,-0.0135,-0.0263,-0.0161,-0.0253,-0.0184,-0.0142,-0.0044,-0.0091,-0.0149,-0.0164,-0.006,-0.0055,0.0061,0.0071,0.0061,0.0033,-0.0044,-0.0081,-0.0035,-0.0077,-0.0024,0.0021,-0.0027,-0.0039,-0.0042,-0.001,-0.0012,0.0015,0.0034,0.0012,0.0124,0.0092,0.0097,0.0163
Z17,-0.0039,0.0177,0.0304,0.0099,0.0241,0.0207,0.0092,0.0035,0.0122,0.0005,0.0039,0.0071,0.0063,0.0277,0.015,0.0073,0.0077,0.0026,0.0042,-0.0009,0.0048,0.0072,0.0101,0.0064,0.0035,0.0045,0.0005,0.0029,-0.0023,0.0014,0.0085,0.0084,0.0112,0.0052,0.0001
Z18,0.007,0.0557,0.0405,0.0337,0.0264,0.0261,0.0064,-0.0137,-0.004,-0.0019,-0.0157,-0.0001,0.0091,0.011,-0.0069,-0.0146,-0.0073,0.0138,0.0205,-0.0111,0.0025,-0.0098,-0.021,-0.024,-0.0193,-0.028,-0.0176,-0.0262,-0.0261,-0.0316,-0.0177,-0.004,-0.0243,0.0016,0.0092
Z19,0.0053,0.0058,0.0079,0.0006,0.0126,-0.0128,0.0009,0.0122,0.007,0.0199,0.0134,0.0123,0.0252,0.023,0.0118,0.0105,0.0033,-0.002,-0.0025,-0.0057,-0.0044,-0.0066,-0.0015,-0.0044,-0.0046,-0.0018,-0.0004,-0.0005,0.0085,0.011,0.019,0.0112,0.0113,0.0102,0.0143
Z20,0.0086,-0.0339,-0.0292,-0.0424,-0.0494,-0.0419,-0.0358,-0.0232,-0.024,-0.0347,-0.0285,0.0005,-0.0461,-0.0356,0.0254,0.0391,0.0333,0.0253,0.0262,0.0412,0.0016,0.0199,0.0603,0.0489,0.0494,0.0498,0.0361,0.0429,0.0541,0.0531,0.0569,0.0675,0.0684,0.0629,0.0701
Z21,0.0005,0.0062,-0.0031,-0.0102,-0.0068,0.0001,0.0095,0.0117,0.0012,0.0336,0.027,0.0053,0.0352,0.0287,0.0041,-0.0027,-0.0187,0.0035,-0.0119,-0.0147,-0.0163,0.0021,0.0117,-0.0109,-0.0131,-0.0132,-0.0166,-0.0135,-0.0079,-0.0024,0.0079,-0.0095,0.0054,-0.0036,0.0106
